date,myagm2jpm189n
1994-01-01,513453000000000
1994-02-01,508751400000000
1994-03-01,513618600000000
1994-04-01,519929700000000
1994-05-01,517794000000000
1994-06-01,517722600000000
1994-07-01,522953100000000
1994-08-01,522096300000000
1994-09-01,522913300000000
1994-10-01,521616400000000
1994-11-01,520299900000000
1994-12-01,531906400000000
1995-01-01,529371800000000
1995-02-01,526835900000000
1995-03-01,531730700000000
1995-04-01,535943200000000
1995-05-01,533703800000000
1995-06-01,533906400000000
1995-07-01,537134200000000
1995-08-01,535992400000000
1995-09-01,536400900000000
1995-10-01,534293700000000
1995-11-01,537536200000000
1995-12-01,548791600000000
1996-01-01,545830800000000
1996-02-01,541459600000000
1996-03-01,547753800000000
1996-04-01,550992700000000
1996-05-01,550897000000000
1996-06-01,553802300000000
1996-07-01,556790400000000
1996-08-01,555862300000000
1996-09-01,554681800000000
1996-10-01,553757500000000
1996-11-01,554339900000000
1996-12-01,564689900000000
1997-01-01,562287300000000
1997-02-01,557065900000000
1997-03-01,562422000000000
1997-04-01,568608100000000
1997-05-01,567870900000000
1997-06-01,569662200000000
1997-07-01,573665100000000
1997-08-01,573701500000000
1997-09-01,571005500000000
1997-10-01,569706000000000
1997-11-01,571865000000000
1997-12-01,586029300000000
1998-01-01,587328800000000
1998-02-01,584937200000000
1998-03-01,587812800000000
1998-04-01,591979300000000
1998-05-01,592684000000000
1998-06-01,591817600000000
1998-07-01,596797400000000
1998-08-01,598393300000000
1998-09-01,595560300000000
1998-10-01,594429600000000
1998-11-01,599312200000000
1998-12-01,611599900000000
1999-01-01,611002700000000
1999-02-01,607670900000000
1999-03-01,612014600000000
1999-04-01,615301000000000
1999-05-01,616905600000000
1999-06-01,617452800000000
1999-07-01,620438200000000
1999-08-01,619187100000000
1999-09-01,615114600000000
1999-10-01,615700900000000
1999-11-01,616636100000000
1999-12-01,627758900000000
2000-01-01,626853100000000
2000-02-01,620400300000000
2000-03-01,623851900000000
2000-04-01,633095900000000
2000-05-01,630464400000000
2000-06-01,629274500000000
2000-07-01,632664200000000
2000-08-01,630220700000000
2000-09-01,627128500000000
2000-10-01,628894500000000
2000-11-01,628384300000000
2000-12-01,640175700000000
2001-01-01,640458100000000
2001-02-01,636337900000000
2001-03-01,639252400000000
2001-04-01,647820700000000
2001-05-01,647165000000000
2001-06-01,647315300000000
2001-07-01,651374900000000
2001-08-01,648809500000000
2001-09-01,647134900000000
2001-10-01,647099900000000
2001-11-01,647546500000000
2001-12-01,661315600000000
2002-01-01,662789200000000
2002-02-01,658715600000000
2002-03-01,662835100000000
2002-04-01,670732600000000
2002-05-01,669639700000000
2002-06-01,669187800000000
2002-07-01,672710900000000
2002-08-01,670921700000000
2002-09-01,668093900000000
2002-10-01,668564500000000
2002-11-01,668521000000000
2002-12-01,675654000000000
2003-01-01,675662300000000
2003-02-01,671495200000000
2003-03-01,674083700000000
2003-04-01,676706700000000
2003-05-01,677086900000000
2003-06-01,677755000000000
2003-07-01,681305500000000
2003-08-01,680734400000000
2003-09-01,676845900000000
2003-10-01,675573100000000
2003-11-01,675728400000000
2003-12-01,682584000000000
2004-01-01,683311900000000
2004-02-01,679776700000000
2004-03-01,682591600000000
2004-04-01,689188300000000
2004-05-01,690384300000000
2004-06-01,689482400000000
2004-07-01,693787500000000
2004-08-01,693368900000000
2004-09-01,690728200000000
2004-10-01,689050600000000
2004-11-01,689478600000000
2004-12-01,696062200000000
2005-01-01,696571200000000
2005-02-01,692050200000000
2005-03-01,696511900000000
2005-04-01,701535600000000
2005-05-01,700316900000000
2005-06-01,700681900000000
2005-07-01,705060400000000
2005-08-01,704374700000000
2005-09-01,704618400000000
2005-10-01,702174600000000
2005-11-01,703601400000000
2005-12-01,708989900000000
2006-01-01,708779500000000
2006-02-01,703796100000000
2006-03-01,706119500000000
2006-04-01,712911000000000
2006-05-01,709318100000000
2006-06-01,708588800000000
2006-07-01,708518600000000
2006-08-01,707307000000000
2006-09-01,708193300000000
2006-10-01,705977500000000
2006-11-01,707825100000000
2006-12-01,713793400000000
2007-01-01,715142300000000
2007-02-01,710892300000000
2007-03-01,713841500000000
2007-04-01,721096700000000
2007-05-01,719519200000000
2007-06-01,721636700000000
2007-07-01,722881100000000
2007-08-01,719815600000000
2007-09-01,720192100000000
2007-10-01,719343600000000
2007-11-01,722066200000000
2007-12-01,728558800000000
2008-01-01,730445700000000
2008-02-01,727661700000000
2008-03-01,729947400000000
2008-04-01,734591900000000
2008-05-01,734298200000000
2008-06-01,737829800000000
2008-07-01,738143500000000
2008-08-01,737173200000000
2008-09-01,735856900000000
2008-10-01,732532200000000
2008-11-01,734996000000000
2008-12-01,741732500000000
2009-01-01,744735900000000
2009-02-01,743234500000000
2009-03-01,746284500000000
2009-04-01,754219500000000
2009-05-01,753954400000000
2009-06-01,756465100000000
2009-07-01,758172100000000
2009-08-01,757911400000000
2009-09-01,757758200000000
2009-10-01,757448800000000
2009-11-01,759286800000000
2009-12-01,764435200000000
2010-01-01,766855600000000
2010-02-01,763565600000000
2010-03-01,766219300000000
2010-04-01,775967500000000
2010-05-01,777364100000000
2010-06-01,778428000000000
2010-07-01,778807900000000
2010-08-01,778965700000000
2010-09-01,778863800000000
2010-10-01,778469900000000
2010-11-01,778897800000000
2010-12-01,782287500000000
2011-01-01,784399100000000
2011-02-01,781829000000000
2011-03-01,786081100000000
2011-04-01,797076300000000
2011-05-01,798320100000000
2011-06-01,800516200000000
2011-07-01,801721400000000
2011-08-01,799723400000000
2011-09-01,800007700000000
2011-10-01,800282800000000
2011-11-01,802442300000000
2011-12-01,806921400000000
2012-01-01,808274300000000
2012-02-01,804769000000000
2012-03-01,809270700000000
2012-04-01,817857800000000
2012-05-01,815705600000000
2012-06-01,818542600000000
2012-07-01,819976000000000
2012-08-01,819127400000000
2012-09-01,819272600000000
2012-10-01,818376400000000
2012-11-01,819424300000000
2012-12-01,827757900000000
2013-01-01,830019000000000
2013-02-01,828343400000000
2013-03-01,834001300000000
2013-04-01,843866500000000
2013-05-01,844106000000000
2013-06-01,849714300000000
2013-07-01,850615900000000
2013-08-01,849966800000000
2013-09-01,850868700000000
2013-10-01,852167300000000
2013-11-01,855093000000000
2013-12-01,862894700000000
2014-01-01,866014800000000
2014-02-01,861181400000000
2014-03-01,863586600000000
2014-04-01,872979900000000
2014-05-01,871695800000000
2014-06-01,875474700000000
2014-07-01,875838300000000
2014-08-01,875278900000000
2014-09-01,877115800000000
2014-10-01,879258200000000
2014-11-01,885737100000000
2014-12-01,893868200000000
2015-01-01,895438200000000
2015-02-01,891302200000000
2015-03-01,894789100000000
2015-04-01,904572100000000
2015-05-01,907450700000000
2015-06-01,909861500000000
2015-07-01,911298800000000
2015-08-01,911979700000000
2015-09-01,910543300000000
2015-10-01,911455300000000
2015-11-01,915287000000000
2015-12-01,921617100000000
2016-01-01,923753500000000
2016-02-01,919744200000000
2016-03-01,923314100000000
2016-04-01,935589600000000
2016-05-01,938674900000000
2016-06-01,941273800000000
2016-07-01,942263500000000
2016-08-01,941724300000000
2016-09-01,942556500000000
2016-10-01,944809500000000
2016-11-01,951408900000000
2016-12-01,958437700000000
2017-01-01,961104100000000
2017-02-01,958082300000000
